Countries;Continent;NodeSusceptance;NodeConductance;NodeMinVoltage;NodeMaxVoltage
ES00398;Continent;0.0;0.0;198.0;242.00000000000003
ES00399;Continent;0.0;0.0;198.0;242.00000000000003
ES00400;Continent;0.0;0.0;198.0;242.00000000000003
ES00401;Continent;0.0;0.0;198.0;242.00000000000003
ES00402;Continent;0.0;0.0;198.0;242.00000000000003
ES00403;Continent;0.0;0.0;198.0;242.00000000000003
ES00404;Continent;0.0;0.0;198.0;242.00000000000003
ES00405;Continent;0.0;0.0;198.0;242.00000000000003
ES00406;Continent;0.0;0.0;360.0;440.00000000000006
ES00407;Continent;0.0;0.0;198.0;242.00000000000003
ES00408;Continent;0.0;0.0;198.0;242.00000000000003
ES00409;Continent;0.0;0.0;360.0;440.00000000000006
ES00410;Continent;0.0;0.0;198.0;242.00000000000003
ES00411;Continent;0.0;0.0;198.0;242.00000000000003
ES00412;Continent;0.0;0.0;198.0;242.00000000000003
ES00413;Continent;0.0;0.0;198.0;242.00000000000003
ES00414;Continent;0.0;0.0;198.0;242.00000000000003
ES00415;Continent;0.0;0.0;360.0;440.00000000000006
ES00416;Continent;0.0;0.0;198.0;242.00000000000003
ES00417;Continent;0.0;0.0;198.0;242.00000000000003
ES00418;Continent;0.0;0.0;118.8;145.20000000000002
ES00419;Continent;0.0;0.0;198.0;242.00000000000003
ES00420;Continent;0.0;0.0;198.0;242.00000000000003
ES00421;Continent;0.0;0.0;198.0;242.00000000000003
ES00422;Continent;0.0;0.0;198.0;242.00000000000003
ES00423;Continent;0.0;0.0;198.0;242.00000000000003
ES00424;Continent;0.0;0.0;198.0;242.00000000000003
ES00425;Continent;0.0;0.0;198.0;242.00000000000003
ES00426;Continent;0.0;0.0;198.0;242.00000000000003
ES00427;Continent;0.0;0.0;198.0;242.00000000000003
ES00428;Continent;0.0;0.0;198.0;242.00000000000003
ES00429;Continent;0.0;0.0;198.0;242.00000000000003
ES00430;Continent;0.0;0.0;198.0;242.00000000000003
ES00431;Continent;0.0;0.0;360.0;440.00000000000006
ES00432;Continent;0.0;0.0;360.0;440.00000000000006
ES00433;Continent;0.0;0.0;198.0;242.00000000000003
ES00434;Continent;0.0;0.0;198.0;242.00000000000003
ES00435;Continent;0.0;0.0;198.0;242.00000000000003
ES00436;Continent;0.0;0.0;360.0;440.00000000000006
ES00437;Continent;0.0;0.0;198.0;242.00000000000003
ES00438;Continent;0.0;0.0;198.0;242.00000000000003
ES00439;Continent;0.0;0.0;198.0;242.00000000000003
