Name;StartLine;EndLine;MaxPowerFlow;MinPowerFlow;Susceptance;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
LLTGES0258a;ES00074;ES00780;3105.838;-3105.838;2.3423806357106782;500.0;0.0;100.0
LLTGES0259a;ES00780;ES00779;3105.838;-3105.838;1.6216481324150849;500.0;0.0;100.0
LLTGES0260a;ES00278;ES00279;854.105;-854.105;0.30977170787377367;500.0;0.0;100.0
LLTGES0261a;ES00280;ES00781;3105.838;-3105.838;0.3219831902785579;500.0;0.0;100.0
LLTGES0262a;ES00281;ES00782;854.105;-854.105;1.3510761804304334;500.0;0.0;100.0
LLTGES0263;ES00279;ES00782;427.053;-427.053;0.12925951321674659;500.0;0.0;100.0
LLTGES0264;ES00782;ES01159;427.053;-427.053;0.14251985578581514;500.0;0.0;100.0
LLTGES0265;ES01159;ES00283;427.053;-427.053;0.18248401865893635;500.0;0.0;100.0
LLTGES0266a;ES00278;ES00783;854.105;-854.105;1.5399012851652893;500.0;0.0;100.0
LLTGES0267;ES00284;ES00278;427.053;-427.053;0.35701621974502523;500.0;0.0;100.0
LLTGES0268;ES00279;ES00893;427.053;-427.053;0.5316630893041557;500.0;0.0;100.0
LLTGES0269a;ES00285;ES00286;854.105;-854.105;1.0374334956876543;500.0;0.0;100.0
LLTGES0270;ES00287;ES00285;854.105;-854.105;0.39038425983115155;500.0;0.0;100.0
LLTGES0272;ES00288;ES00287;427.053;-427.053;0.08603379554975701;500.0;0.0;100.0
LLTGES0273;ES00289;ES00288;427.053;-427.053;0.10063921784938505;500.0;0.0;100.0
LLTGES0274;ES00290;ES00288;854.105;-854.105;0.38289936090089577;500.0;0.0;100.0
LLTGES0276;ES00291;ES00288;854.105;-854.105;0.3612543998550566;500.0;0.0;100.0
LLTGES0278a;ES00784;ES00292;854.105;-854.105;1.9019614087606997;500.0;0.0;100.0
LLTGES0279;ES00292;ES00289;854.105;-854.105;1.3953254003135265;500.0;0.0;100.0
LLTGES0280;ES00287;ES00289;427.053;-427.053;0.30872417069738894;500.0;0.0;100.0
LLTGES0281;ES00293;ES00785;1552.919;-1552.919;0.16766307605965924;500.0;0.0;100.0
LLTGES0282;ES00788;ES00787;1552.919;-1552.919;0.2791268910846871;500.0;0.0;100.0
LLTGES0283;ES00157;ES00788;1552.919;-1552.919;0.2352008741670734;500.0;0.0;100.0
LLTGES0284;ES00295;ES00046;1552.919;-1552.919;0.10667032988189774;500.0;0.0;100.0
LLTGES0285a;ES00297;ES00295;3105.838;-3105.838;1.598990374077948;500.0;0.0;100.0
LLTGES0286a;ES00156;ES00162;854.105;-854.105;1.4557153379125174;500.0;0.0;100.0
LLTGES0287a;ES00298;ES00299;854.105;-854.105;0.6976627001567632;500.0;0.0;100.0
